Title,Year,Rating10,WatchedDate
Mad Max - Fury Road,2015,7,
Mustang,2015,7,
Un moment d’égarement,2015,6,
Home Alone,1990,8,
Big Eyes,2014,7,
Ant-Man,2015,8,
Relatos salvajes,2014,9,
Magic in the Moonlight,2014,6,2015-10-31
Irrational Man,2015,7,
Ex Machina,2015,4,2015-09-25
The Brass Teapot,2013,6,2015-09-25
It Follows,2014,8,
Fargo,1996,8,
La Haine,1995,8,
The Broken Circle Breakdown,2012,8,
The Talented Mr. Ripley,1999,5,2015-03-01
Birdman or (The Unexpected Virtue of Ignorance),2014,8,2015-02-28
La Famille Bélier,2014,5,2015-01-28
The Squid and the Whale,2005,6,
Mommy,2014,9,2015-01-05
The Prestige,2006,8,2015-01-04
Mulholland Dr.,2001,7,
Guardians of the Galaxy,2014,7,
Argo,2012,8,
The Grand Budapest Hotel,2014,8,
La prochaine fois je viserai le cœur,2014,6,2014-11-29
The Secret Life of Walter Mitty,2013,7,
Gone Girl,2014,9,2014-11-25
Interstellar,2014,10,2014-11-25
The Interpreter,2005,5,2014-10-05
How High,2001,5,
Fear and Loathing in Las Vegas,1998,9,
Kapringen,2012,6,
The Young and Prodigious T.S. Spivet,2013,5,
RoboCop,2014,6,
Warm Bodies,2013,5,
Kick-Ass 2,2013,4,
Donnie Brasco,1997,7,
Walk the Line,2005,7,
"Les Garçons et Guillaume, à table !",2013,8,
The Wolf of Wall Street,2013,7,
Mud,2013,8,
Her,2013,9,
Buried,2010,8,
L'Écume des jours,2013,6,
Vicky Cristina Barcelona,2008,7,
Camille redouble,2012,8,
Gravity,2013,9,2013-11-04
OSS 117 - Rio ne répond plus...,2009,7,
Cloud Atlas,2012,4,
Silver Linings Playbook,2012,7,
Thank You for Smoking,2006,7,
Catch Me if You Can,2002,6,
Sin City,2005,4,
Le père Noël est une ordure,1982,10,
Ocean's Eleven,2001,8,
Harry Potter and the Prisoner of Azkaban,2004,2,
Rocky III,1982,7,
Drive,2011,8,
Arizona Dream,1993,7,
"I, Robot",2004,6,
Blow,2001,8,
Scream 3,2000,5,
Les Beaux Gosses,2009,7,
Kindergarten Cop,1990,6,
Ghostbusters,1984,8,
Ted,2012,6,
Casino Royale,2006,8,
The Cabin in the Woods,2012,9,
9 Mois ferme,2013,8,2013-10-23
Spring Breakers,2013,2,
The Congress,2013,5,
La vie est un long fleuve tranquille,1988,7,
Heat,1995,7,
Thelma and Louise,1991,8,
La Tour Montparnasse infernale,2001,6,
Burn After Reading,2008,3,
Star Wars: Episode III - Revenge of the Sith,2005,4,
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7,
Camping,2006,4,
RRRrrrr !!!,2004,6,
L'Auberge espagnole,2002,8,
Grease,1978,8,
Hancock,2008,7,
Cool Runnings,1993,7,
Jurassic Park,1993,8,
The Addams Family,1991,6,
Wild Wild West,1999,4,
Speed,1994,5,
Jumanji,1995,6,
There's Something About Mary,1998,7,
Spider-Man 2,2004,6,
From Dusk till Dawn,1996,7,
In Bruges,2008,5,
Charlie's Angels,2000,2,
Star Wars Episode V: The Empire Strikes Back,1980,3,
The Transporter,2002,3,
Les Trois Frères,1995,9,
8 Mile,2002,6,
Prometheus,2012,3,
Polisse,2011,8,
American Pie,1999,7,
Moonrise Kingdom,2012,8,
Les Bronzés font du ski,1979,9,
Beetlejuice,1988,4,
Sweeney Todd: The Demon Barber of Fleet Street,2007,3,
Panic Room,2002,6,
Snatch,2000,9,
Taxi 3,2003,2,
Mars Attacks!,1996,5,
I Am Legend,2007,6,
Alien³,1992,7,
Bernie,1996,7,
Taxi,1998,6,
La Boum,1980,7,
Minority Report,2002,6,
Bienvenue chez les Ch'tis,2008,4,
The Lord of the Rings: The Fellowship of the Ring,2001,4,
The Lord of the Rings: The Two Towers,2002,4,
The Lord of the Rings: The Return of the King,2003,4,
American History X,1998,8,
L'Arnacœur,2010,5,
The Hangover,2009,7,
The Butterfly Effect,2004,7,
The Boat That Rocked,2009,8,
Kaboom,2010,4,
Lost in Translation,2003,6,
Book of Shadows: Blair Witch 2,2000,3,
2012,2009,6,
Tout ce qui brille,2010,4,
Les Petits Mouchoirs,2010,6,
True Grit,2010,7,
The Dictator,2012,8,
Intouchables,2011,5,
Le Premier Jour du reste de ta vie,2008,7,
The Virgin Suicides,1999,7,
Into the Wild,2007,10,
Juno,2007,8,
Kill Bill: Vol. 2,2004,8,
Jackie Brown,1997,7,
Kill Bill: Vol. 1,2003,7,
Death Proof,2007,7,
The Dark Knight Rises,2012,8,
99 Francs,2007,7,
Star Wars,1977,5,
Django Unchained,2012,9,
The Big Lebowski,1998,9,
The Dark Knight,2008,9,
The Usual Suspects,1995,8,
Se7en,1995,8,
Back to the Future,1985,10,
Reservoir Dogs,1992,10,
Full Metal Jacket,1987,9,
The Shining,1980,9,
Alien,1979,8,
Goodfellas,1990,9,
Pulp Fiction,1994,10,
The Godfather: Part II,1974,9,
The Godfather,1972,9,
C'era una volta il West,1968,8,
"Il buono, il brutto, il cattivo",1966,8,
Life of Pi,2012,9,
Trainspotting,1996,9,
Black Swan,2010,6,
Les Visiteurs,1993,7,
Kick-Ass,2010,7,
The Truman Show,1998,8,
Le Dîner de cons,1998,6,
Little Miss Sunshine,2006,8,
Eternal Sunshine of the Spotless Mind,2004,7,
The Fifth Element,1997,7,
Titanic,1997,6,
La Cité de la peur,1994,9,
Requiem for a Dream,2000,8,
Le Fabuleux Destin d'Amélie Poulain,2001,8,
Fight Club,1999,8,
Le Bruit des glaçons,2010,6,
Tamara Drewe,2010,6,
Inception,2010,8,
